Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              13.09.1939 250 6.31       35.03       6.31                 35.03         
Ingoy              25.09.1939 250 6.22       35.1        6.22                 35.1          
Ingoy              07.10.1939 250 6.88       35.05       6.88                 35.05         
Ingoy              25.10.1939 250 7.29       34.76       7.29                 34.76         
Ingoy              06.11.1939 250 7.15       34.76       7.15                 34.76         
Ingoy              17.11.1939 250 6.97       34.79       6.97                 34.79         
Ingoy              29.11.1939 250 7.07       34.91       7.07                 34.91         
Ingoy              04.01.1940 250 6.27       34.87       6.27                 34.87         
Ingoy              09.01.1940 250 5.87       34.84       5.87                 34.84         
Ingoy              17.01.1940 250 6.09       34.81       6.09                 34.81         
Ingoy              22.01.1940 250 5.76       35.05       5.76                 35.05         
Ingoy              04.02.1940 250 5.65       35.04       5.65                 35.04         
Ingoy              03.03.1940 250 4.29       34.57       4.29                 34.57         
Ingoy              14.03.1940 250 4.7        34.8        4.7                  34.8          
Ingoy              26.03.1940 250 4.26       34.81       4.26                 34.81         
Ingoy              15.05.1940 250 4.32       34.92       4.32                 34.92         
Ingoy              23.06.1940 250 5.46       34.97       5.46                 34.97         
Ingoy              12.07.1940 250 5.54       35.03       5.54                 35.03         
Ingoy              24.07.1940 250 5.47       35.04       5.47                 35.04         
Ingoy              07.08.1940 250 5.86       34.89       5.86                 34.89         
Ingoy              26.08.1940 250 6.29       34.9        6.29                 34.9          
Ingoy              09.09.1940 250 5.4        35.07       5.4                  35.07         
Ingoy              23.09.1940 250 6.21       35.03       6.21                 35.03         
Ingoy              05.10.1940 250 6.88       34.91       6.88                 34.91         
Ingoy              17.10.1940 250 5.97       35.08       5.97                 35.08         
Ingoy              29.10.1940 250 6.29       35.12       6.29                 35.12         
Ingoy              08.11.1940 250 6.23       35.12       6.23                 35.12         
Ingoy              21.11.1940 250 6.41       34.79       6.41                 34.79         
Ingoy              04.12.1940 250 6.08       34.92       6.08                 34.92         
Ingoy              28.12.1940 250 5.72       35.12       5.72                 35.12         
Ingoy              11.01.1941 250 5.77                   5.77                               
Ingoy              29.01.1941 250 4.78       34.82       4.78                 34.82         
Ingoy              05.02.1941 250 4.78       35.01       4.78                 35.01         
Ingoy              10.02.1941 250 4.86       34.95       4.86                 34.95         
Ingoy              17.02.1941 250 4.69       34.97       4.69                 34.97         
Ingoy              24.02.1941 250 3.68                   3.68                               
Ingoy              04.03.1941 250 4.46       34.93       4.46                 34.93         
Ingoy              11.03.1941 250 4.32       35.05       4.32                 35.05         
Ingoy              21.03.1941 250 4.36       35.01       4.36                 35.01         
Ingoy              26.03.1941 250 4.12                   4.12                               
Ingoy              02.04.1941 250 4.05       34.8        4.05                 34.8          
Ingoy              17.04.1941 250 3.98       34.87       3.98                 34.87         
Ingoy              25.04.1941 250 3.4        34.62       3.4                  34.62         
Ingoy              08.05.1941 250 4.02       35.04       4.02                 35.04         
Ingoy              20.05.1941 250 3.93       34.95       3.93                 34.95         
Ingoy              28.05.1941 250 4.08       34.85       4.08                 34.85         
Ingoy              13.06.1941 250 3.81                   3.81                               
Ingoy              11.07.1941 250 4.92       34.77       4.92                 34.77         
Ingoy              30.07.1941 250 4.82       34.91       4.82                 34.91         
Ingoy              11.08.1941 250 5.1        34.92       5.1                  34.92         
Ingoy              25.08.1941 250 5.43       35.01       5.43                 35.01         
Ingoy              12.09.1941 250 4.05       35.09       4.05                 35.09         
Ingoy              27.09.1941 250 5.78       35          5.78                 35            
Ingoy              21.10.1941 250 6.44       34.79       6.44                 34.79         
Ingoy              13.11.1941 250 5.93       35          5.93                 35            
Ingoy              24.11.1941 250 5.91       34.97       5.91                 34.97         
Ingoy              08.12.1941 250 5.29       34.86       5.29                 34.86         
Ingoy              18.12.1941 250 5.69                   5.69                               
Ingoy              06.01.1942 250 4.88       34.62       4.88                 34.62         
Ingoy              13.01.1942 250 5.32       34.88       5.32                 34.88         
Ingoy              20.01.1942 250 5.18       35          5.18                 35            
Ingoy              29.01.1942 250 5.18       34.87       5.18                 34.87         
Ingoy              03.03.1942 250 4.57       34.82       4.57                 34.82         
Ingoy              19.03.1942 250 3.92       34.81       3.92                 34.81         
Ingoy              22.04.1942 250 4.02       34.98       4.02                 34.98         
Ingoy              13.05.1942 250 3.92       34.94       3.92                 34.94         
Ingoy              21.05.1942 250 4.01       34.86       4.01                 34.86         
Ingoy              02.06.1942 250 4.3        34.93       4.3                  34.93         
Ingoy              16.06.1942 250 4.12       34.97       4.12                 34.97         
Ingoy              26.06.1942 250 4.88       34.88       4.88                 34.88         
Ingoy              16.07.1942 250 4.08       35.01       4.08                 35.01         
Ingoy              22.07.1942 250            35.06                            35.06         
Ingoy              13.08.1942 250 5.32       34.84       5.32                 34.84         
Ingoy              08.09.1942 250 6.15                   6.15                               
Ingoy              22.09.1942 250 5.16                   5.16                               
Ingoy              01.10.1942 250 5.77       34.97       5.77                 34.97         
Ingoy              19.10.1942 250 7.96                   7.96                               
Ingoy              02.11.1942 250 5.37       35.1        5.37                 35.1          
Ingoy              18.11.1942 250 6.37       34.38       6.37                 34.38         
Ingoy              05.12.1942 250 5.65       35.05       5.65                 35.05         
Ingoy              15.12.1942 250 5.86       34.89       5.86                 34.89         
Ingoy              21.12.1942 250 5.65                   5.65                               
Ingoy              11.01.1943 250 5.49       34.59       5.49                 34.59         
Ingoy              18.01.1943 250 5.09       35.01       5.09                 35.01         
Ingoy              23.01.1943 250 5.09       34.99       5.09                 34.99         
Ingoy              29.01.1943 250 5.42       34.55       5.42                 34.55         
Ingoy              05.02.1943 250 5.23       34.92       5.23                 34.92         
Ingoy              15.02.1943 250 4.99       34.94       4.99                 34.94         
Ingoy              27.02.1943 250 5          34.97       5                    34.97         
Ingoy              04.03.1943 250 4.95       34.91       4.95                 34.91         
Ingoy              13.03.1943 250 3.85       34.52       3.85                 34.52         
Ingoy              22.03.1943 250 4.42                   4.42                               
Ingoy              27.03.1943 250 4.51       35          4.51                 35            
Ingoy              06.04.1943 250 4.68       34.91       4.68                 34.91         
Ingoy              14.04.1943 250 4.85       34.99       4.85                 34.99         
Ingoy              19.04.1943 250 4.63       35.04       4.63                 35.04         
Ingoy              29.04.1943 250 4.8        34.92       4.8                  34.92         
Ingoy              07.05.1943 250 4.95       34.88       4.95                 34.88         
Ingoy              17.05.1943 250 5.01       34.61       5.01                 34.61         
Ingoy              25.05.1943 250 4.86       34.8        4.86                 34.8          
Ingoy              15.06.1943 250 5.59       34.95       5.59                 34.95         
Ingoy              07.07.1943 250 5.97       35.01       5.97                 35.01         
Ingoy              15.07.1943 250 5.6                    5.6                                
Ingoy              24.07.1943 250 6.09       34.83       6.09                 34.83         
Ingoy              04.08.1943 250 6.03       34.92       6.03                 34.92         
Ingoy              01.09.1943 250 6.14       35.05       6.14                 35.05         
Ingoy              10.09.1943 250 6.62       34.92       6.62                 34.92         
Ingoy              01.10.1943 250 6.4        35.05       6.4                  35.05         
Ingoy              15.10.1943 250 6.87       34.94       6.87                 34.94         
Ingoy              09.11.1943 250 7.01       35          7.01                 35            
Ingoy              18.11.1943 250 6.19       35.11       6.19                 35.11         
Ingoy              01.12.1943 250 6.8        34.79       6.8                  34.79         
Ingoy              04.03.1944 250 5.61                   5.61                               
Ingoy              16.03.1944 250 5.78       34.92       5.78                 34.92         
Ingoy              27.03.1944 250 4.74       34.46       4.74                 34.46         
Ingoy              04.04.1944 250 5.23       34.88       5.23                 34.88         
Ingoy              14.04.1944 250 5.39       34.67       5.39                 34.67         
Ingoy              29.04.1944 250 5.12       35          5.12                 35            
Ingoy              14.06.1944 250 5.17       35.04       5.17                 35.04         
Ingoy              19.07.1944 250 4.88                   4.88                               
Ingoy              31.07.1944 250 5.1        35.08       5.1                  35.08         
Ingoy              11.09.1944 250 5.53                   5.53                               
Ingoy              05.10.1944 250 6.48                   6.48                               
Ingoy              28.07.1949 250            35.06                            35.06         
Ingoy              17.08.1949 250 6.19       35.03       6.19                 35.03         
Ingoy              10.11.1949 250 7.5        34.8        7.5                  34.8          
Ingoy              21.11.1949 250 6.75       34.83       6.75                 34.83         
Ingoy              24.08.1968 250 6.29       34.849      6.29                 34.849        
Ingoy              07.09.1968 250 5.1        35.132      5.1                  35.132        
Ingoy              21.09.1968 250 4.55       35.105      4.55                 35.105        
Ingoy              05.10.1968 250 5.91       35.151      5.91                 35.151        
Ingoy              22.10.1968 250 6.09       35.13       6.09                 35.13         
Ingoy              04.11.1968 250 4.96       35.143      4.96                 35.143        
Ingoy              06.12.1968 250 5.72       35.055      5.72                 35.055        
Ingoy              27.12.1968 250 5.76       35.055      5.76                 35.055        
Ingoy              18.01.1969 250 5.55       35.106      5.55                 35.106        
Ingoy              11.03.1969 250 3.79       34.384      3.79                 34.384        
Ingoy              31.03.1969 250 4.71       34.852      4.71                 34.852        
Ingoy              19.04.1969 250 4.52       35.056      4.52                 35.056        
Ingoy              05.05.1969 250 4.53                   4.53                               
Ingoy              19.05.1969 250 4.86       34.872      4.86                 34.872        
Ingoy              01.06.1969 250 4.86                   4.86                               
Ingoy              15.06.1969 250 5.19       35.054      5.19                 35.054        
Ingoy              03.07.1969 250 4.41                   4.41                               
Ingoy              02.08.1969 250 5.69       35.055      5.69                 35.055        
Ingoy              18.08.1969 250 5.93       34.994      5.93                 34.994        
Ingoy              01.09.1969 250 5          35.141      5                    35.141        
Ingoy              15.09.1969 250 6.31       35.079      6.31                 35.079        
Ingoy              29.09.1969 250 6.82       34.998      6.82                 34.998        
Ingoy              30.10.1969 250 7.77       34.749      7.77                 34.749        
Ingoy              17.11.1969 250 7.42                   7.42                               
Ingoy              03.12.1969 250 6.88       34.957      6.88                 34.957        
Ingoy              20.12.1969 250 6.54       35.033      6.54                 35.033        
Ingoy              08.01.1970 250 6.14       35.091      6.14                 35.091        
Ingoy              22.01.1970 250 5.56       34.862      5.56                 34.862        
Ingoy              10.02.1970 250 4.97       34.953      4.97                 34.953        
Ingoy              25.02.1970 250 4.57       34.722      4.57                 34.722        
Ingoy              11.03.1970 250 4.55       34.945      4.55                 34.945        
Ingoy              28.03.1970 250 4.51       34.918      4.51                 34.918        
Ingoy              23.04.1970 250 4.4        35.096      4.4                  35.096        
Ingoy              14.05.1970 250 4.46       35.098      4.46                 35.098        
Ingoy              08.06.1970 250 4.82       34.961      4.82                 34.961        
Ingoy              24.06.1970 250 4.99       35.031      4.99                 35.031        
Ingoy              04.07.1970 250 5.24       34.975      5.24                 34.975        
Ingoy              31.07.1970 250 5.79       34.947      5.79                 34.947        
Ingoy              14.08.1970 250 5.98       35.088      5.98                 35.088        
Ingoy              29.08.1970 250 6.1        35.037      6.1                  35.037        
Ingoy              14.09.1970 250 6.21       35.108      6.21                 35.108        
Ingoy              27.09.1970 250 6.18       35.112      6.18                 35.112        
Ingoy              17.10.1970 250 6.76       34.882      6.76                 34.882        
Ingoy              09.11.1970 250 6.01       35.074      6.01                 35.074        
Ingoy              21.11.1970 250 6.61       34.957      6.61                 34.957        
Ingoy              13.12.1970 250 5.99       34.48       5.99                 34.48         
Ingoy              29.12.1970 250 5.49       35.021      5.49                 35.021        
Ingoy              23.01.1971 250 5.01       35.035      5.01                 35.035        
Ingoy              08.02.1971 250 4.99       34.857      4.99                 34.857        
Ingoy              26.02.1971 250 4.56       34.681      4.56                 34.681        
Ingoy              26.03.1971 250 4.4        34.96       4.4                  34.96         
Ingoy              14.04.1971 250 4.59       34.906      4.59                 34.906        
Ingoy              01.05.1971 250 4.23       35.034      4.23                 35.034        
Ingoy              16.05.1971 250 4.55       34.789      4.55                 34.789        
Ingoy              31.05.1971 250 4.71       34.862      4.71                 34.862        
Ingoy              13.06.1971 250 4.91       35.035      4.91                 35.035        
Ingoy              28.06.1971 250 5.15                   5.15                               
Ingoy              17.08.1971 250 5.82       35.104      5.82                 35.104        
Ingoy              31.08.1971 250 6.15       34.977      6.15                 34.977        
Ingoy              15.09.1971 250 5.25       35.132      5.25                 35.132        
Ingoy              30.09.1971 250 7.78       34.907      7.78                 34.907        
Ingoy              14.10.1971 250 7.54       35.161      7.54                 35.161        
Ingoy              01.11.1971 250 7.19       34.855      7.19                 34.855        
Ingoy              14.11.1971 250 6.63       34.933      6.63                 34.933        
Ingoy              30.11.1971 250 6.08       35.007      6.08                 35.007        
Ingoy              11.01.1972 250 4.92       35.095      4.92                 35.095        
Ingoy              02.02.1972 250 5.66       35.003      5.66                 35.003        
Ingoy              29.02.1972 250 5.46       34.855      5.46                 34.855        
Ingoy              04.04.1972 250 4.88       34.829      4.88                 34.829        
Ingoy              16.04.1972 250 4.97       35.016      4.97                 35.016        
Ingoy              15.05.1972 250 5.03       34.929      5.03                 34.929        
Ingoy              31.05.1972 250 5          35.049      5                    35.049        
Ingoy              01.07.1972 250 5.44                   5.44                               
Ingoy              31.07.1972 250 6.03                   6.03                               
Ingoy              15.08.1972 250 6.19       34.884      6.19                 34.884        
Ingoy              31.08.1972 250 6.89       35.11       6.89                 35.11         
Ingoy              15.09.1972 250 6.6        34.937      6.6                  34.937        
Ingoy              30.09.1972 250 7.69                   7.69                               
Ingoy              16.10.1972 250 6.56       35.112      6.56                 35.112        
Ingoy              30.10.1972 250 6.88       35.051      6.88                 35.051        
Ingoy              17.11.1972 250 6.59       35.07       6.59                 35.07         
Ingoy              30.11.1972 250 6.53       34.963      6.53                 34.963        
Ingoy              14.12.1972 250 6.58       34.683      6.58                 34.683        
Ingoy              08.02.1973 250 5.77       34.729      5.77                 34.729        
Ingoy              27.02.1973 250 5.73                   5.73                               
Ingoy              23.03.1973 250 5.27       34.984      5.27                 34.984        
Ingoy              06.04.1973 250 5.15       34.902      5.15                 34.902        
Ingoy              23.04.1973 250 5.03       34.688      5.03                 34.688        
Ingoy              07.05.1973 250 5.38       34.948      5.38                 34.948        
Ingoy              21.05.1973 250 5.7        35.085      5.7                  35.085        
Ingoy              04.06.1973 250 5.65       34.89       5.65                 34.89         
Ingoy              19.06.1973 250 5.64       35.059      5.64                 35.059        
Ingoy              02.07.1973 250 5.95       34.805      5.95                 34.805        
Ingoy              16.07.1973 250 5.96       34.905      5.96                 34.905        
Ingoy              10.08.1973 250 6.12       35.009      6.12                 35.009        
Ingoy              27.08.1973 250 6.82       34.947      6.82                 34.947        
Ingoy              09.09.1973 250 6.05       35.094      6.05                 35.094        
Ingoy              23.09.1973 250 6.61       35.116      6.61                 35.116        
Ingoy              12.10.1973 250 6.28       35.118      6.28                 35.118        
Ingoy              25.10.1973 250 6.58       35.077      6.58                 35.077        
Ingoy              01.12.1973 250 5.88       34.929      5.88                 34.929        
Ingoy              08.01.1974 250 4.86       35.03       4.86                 35.03         
Ingoy              01.02.1974 250 5.05       34.692      5.05                 34.692        
Ingoy              18.02.1974 250 5.34       34.756      5.34                 34.756        
Ingoy              02.03.1974 250 5          35          5                    35            
Ingoy              15.03.1974 250 5.11       35.039      5.11                 35.039        
Ingoy              03.04.1974 250 5.32       34.91       5.32                 34.91         
Ingoy              16.04.1974 250 4.93       34.91       4.93                 34.91         
Ingoy              08.05.1974 250 5.14       34.972      5.14                 34.972        
Ingoy              18.06.1974 250 5.58       34.923      5.58                 34.923        
Ingoy              06.07.1974 250 5.59       34.993      5.59                 34.993        
Ingoy              23.07.1974 250 5.68       34.949      5.68                 34.949        
Ingoy              05.08.1974 250 5.48       35.027      5.48                 35.027        
Ingoy              18.08.1974 250 5.64       35.057      5.64                 35.057        
Ingoy              03.09.1974 250 5.91       35.044      5.91                 35.044        
Ingoy              17.09.1974 250 5.94       35.065      5.94                 35.065        
Ingoy              01.10.1974 250 5.94       35.097      5.94                 35.097        
Ingoy              14.10.1974 250 5.6        35.12       5.6                  35.12         
Ingoy              28.10.1974 250 6.86       34.992      6.86                 34.992        
Ingoy              10.11.1974 250 6.79       34.927      6.79                 34.927        
Ingoy              06.12.1974 250 6.61       34.821      6.61                 34.821        
Ingoy              24.03.1975 250 5.27       34.918      5.27                 34.918        
Ingoy              07.04.1975 250 5.1        34.884      5.1                  34.884        
Ingoy              21.04.1975 250 5.16       35.025      5.16                 35.025        
Ingoy              04.05.1975 250 5.26       34.747      5.26                 34.747        
Ingoy              16.05.1975 250 5.51       34.973      5.51                 34.973        
Ingoy              31.05.1975 250 5.4        34.985      5.4                  34.985        
Ingoy              14.06.1975 250 5.61       34.962      5.61                 34.962        
Ingoy              01.07.1975 250 5.7        34.776      5.7                  34.776        
Ingoy              15.07.1975 250 6.24                   6.24                               
Ingoy              31.07.1975 250 5.77       34.965      5.77                 34.965        
Ingoy              14.08.1975 250 6.26       34.888      6.26                 34.888        
Ingoy              27.08.1975 250 5.05       35.012      5.05                 35.012        
Ingoy              09.09.1975 250 6.61       34.664      6.61                 34.664        
Ingoy              24.09.1975 250 6.88       34.607      6.88                 34.607        
Ingoy              08.10.1975 250 6.77       34.866      6.77                 34.866        
Ingoy              25.10.1975 250 7.86       34.892      7.86                 34.892        
Ingoy              12.11.1975 250 6.67       35.057      6.67                 35.057        
Ingoy              26.11.1975 250 6.65       34.707      6.65                 34.707        
Ingoy              14.01.1976 250 6.06       34.733      6.06                 34.733        
Ingoy              28.01.1976 250 4.94                   4.94                               
Ingoy              09.02.1976 250 5.06       34.876      5.06                 34.876        
Ingoy              29.02.1976 250 4.65       35.031      4.65                 35.031        
Ingoy              12.03.1976 250 4.72       34.644      4.72                 34.644        
Ingoy              27.03.1976 250 5.02       34.838      5.02                 34.838        
Ingoy              12.04.1976 250 4.91       34.798      4.91                 34.798        
Ingoy              27.04.1976 250 4.86       34.784      4.86                 34.784        
Ingoy              11.05.1976 250 4.95       34.774      4.95                 34.774        
Ingoy              23.05.1976 250 5.13       34.809      5.13                 34.809        
Ingoy              07.06.1976 250 5.19       34.852      5.19                 34.852        
Ingoy              20.06.1976 250 5.35       34.91       5.35                 34.91         
Ingoy              04.08.1976 250 5.41       34.988      5.41                 34.988        
Ingoy              18.08.1976 250 6.2        34.764      6.2                  34.764        
Ingoy              06.09.1976 250 5.99       34.817      5.99                 34.817        
Ingoy              29.09.1976 250 6.14       34.947      6.14                 34.947        
Ingoy              14.10.1976 250 5.95       35.014      5.95                 35.014        
Ingoy              04.11.1976 250 6.54       34.909      6.54                 34.909        
Ingoy              27.04.1978 250 3.68       34.866      3.68                 34.866        
Ingoy              08.05.1978 250 3.8        34.817      3.8                  34.817        
Ingoy              21.05.1978 250 3.4        34.5        3.4                  34.5          
Ingoy              07.06.1978 250 4.5        34.656      4.5                  34.656        
Ingoy              02.07.1978 250 4.65       34.812      4.65                 34.812        
Ingoy              17.07.1978 250 3.83       34.937      3.83                 34.937        
Ingoy              28.07.1978 250 4.86       34.858      4.86                 34.858        
Ingoy              09.08.1978 250 5.03       34.869      5.03                 34.869        
Ingoy              20.08.1978 250 5.32       35.142      5.32                 35.142        
Ingoy              31.08.1978 250 5.12       34.923      5.12                 34.923        
Ingoy              16.09.1978 250 5.45       34.927      5.45                 34.927        
Ingoy              19.10.1978 250 5.89       34.821      5.89                 34.821        
Ingoy              31.10.1978 250 5.57       34.932      5.57                 34.932        
Ingoy              13.11.1978 250 5.83       34.703      5.83                 34.703        
Ingoy              27.11.1978 250 5.56       34.658      5.56                 34.658        
Ingoy              11.12.1978 250 5.05       34.93       5.05                 34.93         
Ingoy              02.01.1979 250 4.53                   4.53                               
Ingoy              16.01.1979 250 4.53                   4.53                               
Ingoy              31.01.1979 250 4.59                   4.59                               
Ingoy              19.02.1979 250 3.95       34.648      3.95                 34.648        
Ingoy              01.03.1979 250 4.1        34.809      4.1                  34.809        
Ingoy              11.03.1979 250 2.82                   2.82                               
Ingoy              25.03.1979 250 2.93       34.376      2.93                 34.376        
Ingoy              07.04.1979 250 4.24       34.857      4.24                 34.857        
Ingoy              19.04.1979 250 3.98       34.864      3.98                 34.864        
Ingoy              05.05.1979 250 4.34       34.78       4.34                 34.78         
Ingoy              18.05.1979 250 4.65       34.904      4.65                 34.904        
Ingoy              30.05.1979 250 4.5        34.914      4.5                  34.914        
Ingoy              11.06.1979 250 4.63       34.658      4.63                 34.658        
Ingoy              23.06.1979 250 5.12       34.694      5.12                 34.694        
Ingoy              04.07.1979 250 5.24       34.972      5.24                 34.972        
Ingoy              18.07.1979 250 5.47       34.588      5.47                 34.588        
Ingoy              29.07.1979 250 5.44       34.878      5.44                 34.878        
Ingoy              08.08.1979 250 5.78       34.954      5.78                 34.954        
Ingoy              20.08.1979 250 4.92       34.984      4.92                 34.984        
Ingoy              04.09.1979 250 5.79       34.943      5.79                 34.943        
Ingoy              17.09.1979 250 5.84       34.858      5.84                 34.858        
Ingoy              27.09.1979 250 5.7        34.914      5.7                  34.914        
Ingoy              11.10.1979 250 5.73       35.045      5.73                 35.045        
Ingoy              22.10.1979 250 6.27       34.886      6.27                 34.886        
Ingoy              04.11.1979 250 6.04       34.91       6.04                 34.91         
Ingoy              22.11.1979 250 6.33       34.764      6.33                 34.764        
Ingoy              03.12.1979 250 5.7        34.656      5.7                  34.656        
Ingoy              08.01.1980 250 5.08       34.982      5.08                 34.982        
Ingoy              18.01.1980 250 5.3                    5.3                                
Ingoy              05.02.1980 250 4.83       34.933      4.83                 34.933        
Ingoy              24.02.1980 250 4.9        34.77       4.9                  34.77         
Ingoy              10.03.1980 250 4.61       34.681      4.61                 34.681        
Ingoy              20.03.1980 250 4          34.495      4                    34.495        
Ingoy              01.04.1980 250 4.31       34.595      4.31                 34.595        
Ingoy              12.04.1980 250 4.57       34.656      4.57                 34.656        
Ingoy              06.05.1980 250 5.13       34.917      5.13                 34.917        
Ingoy              02.06.1980 250 5.13       34.776      5.13                 34.776        
Ingoy              26.06.1980 250 5.43       34.817      5.43                 34.817        
Ingoy              12.07.1980 250 4.46       34.96       4.46                 34.96         
