Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              11.03.1936 250 5.09       34.88       5.09                 34.88         
Ingoy              25.03.1936 250 4.77       34.93       4.77                 34.93         
Ingoy              06.04.1936 250            35.05                            35.05         
Ingoy              18.04.1936 250 4.68       35          4.68                 35            
Ingoy              02.05.1936 250 4.52       34.85       4.52                 34.85         
Ingoy              14.05.1936 250 4.83       34.99       4.83                 34.99         
Ingoy              30.05.1936 250 4.91       35.02       4.91                 35.02         
Ingoy              11.06.1936 250 4.89       34.86       4.89                 34.86         
Ingoy              23.06.1936 250 5.36       34.8        5.36                 34.8          
Ingoy              07.07.1936 250 4.8        35.09       4.8                  35.09         
Ingoy              20.07.1936 250 4.6        35.06       4.6                  35.06         
Ingoy              05.08.1936 250 5.72       34.95       5.72                 34.95         
Ingoy              18.08.1936 250 6.02       34.92       6.02                 34.92         
Ingoy              02.09.1936 250 6.47       35.04       6.47                 35.04         
Ingoy              05.10.1936 250 7.03       34.99       7.03                 34.99         
Ingoy              21.10.1936 250 6.8        34.96       6.8                  34.96         
Ingoy              02.11.1936 250 6.99       34.95       6.99                 34.95         
Ingoy              16.11.1936 250 6.46       35.07       6.46                 35.07         
Ingoy              01.12.1936 250 7.09       34.67       7.09                 34.67         
Ingoy              14.12.1936 250 6.68       34.84       6.68                 34.84         
Ingoy              04.01.1937 250 6.1        34.96       6.1                  34.96         
Ingoy              19.01.1937 250 5.86                   5.86                               
Ingoy              10.02.1937 250 5.41       34.75       5.41                 34.75         
Ingoy              20.02.1937 250 5.62       34.94       5.62                 34.94         
Ingoy              05.03.1937 250 5.6        34.99       5.6                  34.99         
Ingoy              16.03.1937 250 5.37       34.93       5.37                 34.93         
Ingoy              03.04.1937 250 4.72       34.75       4.72                 34.75         
Ingoy              15.04.1937 250 4.81       34.91       4.81                 34.91         
Ingoy              28.04.1937 250 5.18       34.98       5.18                 34.98         
Ingoy              10.05.1937 250 4.97       34.79       4.97                 34.79         
Ingoy              03.06.1937 250 5.3        34.96       5.3                  34.96         
Ingoy              15.06.1937 250 5.28       34.91       5.28                 34.91         
Ingoy              30.06.1937 250 5.5        34.85       5.5                  34.85         
Ingoy              14.07.1937 250 5.55       35.06       5.55                 35.06         
Ingoy              27.07.1937 250 5.28       35.11       5.28                 35.11         
Ingoy              12.08.1937 250 6.29       34.85       6.29                 34.85         
Ingoy              25.08.1937 250 6          35.02       6                    35.02         
Ingoy              08.09.1937 250 6.31                   6.31                               
Ingoy              23.09.1937 250 6.18       35.08       6.18                 35.08         
Ingoy              11.10.1937 250 6.94       34.94       6.94                 34.94         
Ingoy              25.10.1937 250 7.12                   7.12                               
Ingoy              09.11.1937 250 7.14       34.83       7.14                 34.83         
Ingoy              20.11.1937 250 7.01       34.84       7.01                 34.84         
Ingoy              01.12.1937 250 6.63       35.14       6.63                 35.14         
Ingoy              18.12.1937 250 6.71       35.02       6.71                 35.02         
Ingoy              12.01.1938 250 6.38       35.08       6.38                 35.08         
Ingoy              31.01.1938 250 6.45       34.91       6.45                 34.91         
Ingoy              11.02.1938 250 5.86       34.79       5.86                 34.79         
Ingoy              26.02.1938 250 5.78       34.93       5.78                 34.93         
Ingoy              10.03.1938 250 5.55       34.84       5.55                 34.84         
Ingoy              29.03.1938 250 5.47       34.98       5.47                 34.98         
Ingoy              20.04.1938 250 5.03       34.84       5.03                 34.84         
Ingoy              06.05.1938 250 5.13       34.84       5.13                 34.84         
Ingoy              16.05.1938 250 5.31       34.97       5.31                 34.97         
Ingoy              30.05.1938 250 5.28       35.04       5.28                 35.04         
Ingoy              13.06.1938 250 5.54       35          5.54                 35            
Ingoy              22.06.1938 250 5.56       34.98       5.56                 34.98         
Ingoy              11.07.1938 250 6.07       34.85       6.07                 34.85         
Ingoy              23.07.1938 250 5.8        35.07       5.8                  35.07         
Ingoy              05.08.1938 250 6.27       34.79       6.27                 34.79         
Ingoy              17.08.1938 250 5.55       35.08       5.55                 35.08         
Ingoy              23.08.1938 250 5.92       35.04       5.92                 35.04         
Ingoy              06.09.1938 250 6.42       35.02       6.42                 35.02         
Ingoy              18.09.1938 250 6.71       34.99       6.71                 34.99         
Ingoy              29.09.1938 250 7.21       34.84       7.21                 34.84         
Ingoy              13.10.1938 250 7.23       35          7.23                 35            
Ingoy              28.10.1938 250 7.28       35.08       7.28                 35.08         
Ingoy              09.11.1938 250 6.82       34.95       6.82                 34.95         
Ingoy              21.11.1938 250 7.84       34.8        7.84                 34.8          
Ingoy              05.12.1938 250 7          34.94       7                    34.94         
Ingoy              16.12.1938 250 7.73       34.8        7.73                 34.8          
Ingoy              04.01.1939 250 6.96       34.83       6.96                 34.83         
Ingoy              21.01.1939 250 6.84       35.05       6.84                 35.05         
Ingoy              03.02.1939 250 6.07       35.12       6.07                 35.12         
Ingoy              19.02.1939 250 6.2        34.86       6.2                  34.86         
Ingoy              01.03.1939 250 5.87       35.06       5.87                 35.06         
Ingoy              09.03.1939 250 5.64       34.62       5.64                 34.62         
Ingoy              17.03.1939 250 6.19       34.93       6.19                 34.93         
Ingoy              27.03.1939 250 5.59       34.9        5.59                 34.9          
Ingoy              02.04.1939 250 5.49       34.96       5.49                 34.96         
Ingoy              14.04.1939 250 5.35       34.95       5.35                 34.95         
Ingoy              21.04.1939 250 5.29       34.89       5.29                 34.89         
Ingoy              02.05.1939 250 5.47       34.78       5.47                 34.78         
Ingoy              15.05.1939 250 5.57       34.85       5.57                 34.85         
Ingoy              05.06.1939 250 5.79       34.59       5.79                 34.59         
Ingoy              17.06.1939 250 5.82       35.04       5.82                 35.04         
Ingoy              30.06.1939 250 6.15       35.01       6.15                 35.01         
Ingoy              13.07.1939 250 5.21       35.14       5.21                 35.14         
Ingoy              26.07.1939 250 6.28       35.1        6.28                 35.1          
Ingoy              07.08.1939 250 6.28       35.02       6.28                 35.02         
Ingoy              19.08.1939 250 6.42       34.89       6.42                 34.89         
Ingoy              01.09.1939 250 6.19       34.99       6.19                 34.99         
