Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              17.11.1939 125 7.38       34.39       7.38                 34.39         
Ingoy              29.11.1939 125 6.88       34.49       6.88                 34.49         
Ingoy              04.01.1940 125 6.25       34.65       6.25                 34.65         
Ingoy              09.01.1940 125 5.55       34.36       5.55                 34.36         
Ingoy              17.01.1940 125 5.15       34.23       5.15                 34.23         
Ingoy              22.01.1940 125 4.72       34.25       4.72                 34.25         
Ingoy              04.02.1940 125 5.86       34.86       5.86                 34.86         
Ingoy              03.03.1940 125 3.46       34.35       3.46                 34.35         
Ingoy              14.03.1940 125 4.59       34.77       4.59                 34.77         
Ingoy              26.03.1940 125 3.5        34.57       3.5                  34.57         
Ingoy              15.05.1940 125 4.37       34.87       4.37                 34.87         
Ingoy              23.06.1940 125 5.35       34.75       5.35                 34.75         
Ingoy              12.07.1940 125 6.13       34.83       6.13                 34.83         
Ingoy              24.07.1940 125 5.87       34.82       5.87                 34.82         
Ingoy              07.08.1940 125 6.22       34.72       6.22                 34.72         
Ingoy              26.08.1940 125 6.99       34.8        6.99                 34.8          
Ingoy              09.09.1940 125 7.05       34.8        7.05                 34.8          
Ingoy              23.09.1940 125 6.84       34.75       6.84                 34.75         
Ingoy              05.10.1940 125 7.65       34.77       7.65                 34.77         
Ingoy              17.10.1940 125 7.49       34.91       7.49                 34.91         
Ingoy              29.10.1940 125 7.45       34.97       7.45                 34.97         
Ingoy              08.11.1940 125 6.63       34.43       6.63                 34.43         
Ingoy              21.11.1940 125 6.16       34.65       6.16                 34.65         
Ingoy              04.12.1940 125 5.99       34.68       5.99                 34.68         
Ingoy              28.12.1940 125 5.62       34.84       5.62                 34.84         
Ingoy              11.01.1941 125 5.53       34.72       5.53                 34.72         
Ingoy              29.01.1941 125 4.27                   4.27                               
Ingoy              05.02.1941 125 4.93       34.82       4.93                 34.82         
Ingoy              10.02.1941 125 4.68       34.82       4.68                 34.82         
Ingoy              17.02.1941 125 4.27       34.75       4.27                 34.75         
Ingoy              24.02.1941 125 3.65       34.73       3.65                 34.73         
Ingoy              04.03.1941 125 3.48       34.75       3.48                 34.75         
Ingoy              11.03.1941 125 3.59       34.75       3.59                 34.75         
Ingoy              21.03.1941 125 4.3        34.91       4.3                  34.91         
Ingoy              26.03.1941 125 3.57       34.71       3.57                 34.71         
Ingoy              02.04.1941 125 4.05       34.75       4.05                 34.75         
Ingoy              17.04.1941 125 3.71       34.72       3.71                 34.72         
Ingoy              25.04.1941 125 2.83       34.57       2.83                 34.57         
Ingoy              08.05.1941 125 4          34.77       4                    34.77         
Ingoy              20.05.1941 125 3.68       34.62       3.68                 34.62         
Ingoy              28.05.1941 125 3.37       34.52       3.37                 34.52         
Ingoy              13.06.1941 125 3.87       34.51       3.87                 34.51         
Ingoy              11.07.1941 125 4.97       34.46       4.97                 34.46         
Ingoy              30.07.1941 125 5.31       34.54       5.31                 34.54         
Ingoy              11.08.1941 125 5.85       34.49       5.85                 34.49         
Ingoy              25.08.1941 125 5.97       34.63       5.97                 34.63         
Ingoy              12.09.1941 125 5.83       34.83       5.83                 34.83         
Ingoy              27.09.1941 125 6.78       34.57       6.78                 34.57         
